n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
1254,1254,1.0,0.0018607123870281763,53,671,14,0.0427048064738928,0.46473289138130175,0.4955950424470836,watts_strogatz,2,0.21992373973775076
221,221,1.0,0.0,8,102,100,0.03950982752417167,0.07203522976349866,0.5701992951373983,watts_strogatz,2,0.35826259279484823
748,747,0.9986631016042781,0.0,27,445,15,0.03613416360908556,0.18605382491726455,0.5443152655386829,barabasi_albert,1,0.34690038254852207
2622,5244,2.0,0.20745341614906845,72,829,8,0.027527621993365392,0.18503208953551462,0.23836202771022047,watts_strogatz,5,0.2656855970013372
1010,3030,3.0,0.18267512465532276,18,960,8,0.017940892860498325,0.2988215787484693,0.7801286804287735,watts_strogatz,6,0.33625728100946733
1673,10038,6.0,0.47322729239943867,69,1477,4,0.04157058820382585,0.37539720788418823,0.34779068771621025,watts_strogatz,12,0.1181100059964556
870,1736,1.9954022988505746,0.030569860704589953,28,586,11,0.03232884568381631,0.11022482302723297,0.5857987968041165,barabasi_albert,2,0.4350791173193725
1628,9768,6.0,0.22742744691274144,59,1620,5,0.03632294519702513,0.3010078951947833,0.5012801976116478,watts_strogatz,12,0.3095019372361021
1227,4892,3.986960065199674,0.02764274741845166,38,931,5,0.03130472518682713,0.19821170371651906,0.3029632328731761,barabasi_albert,4,0.442859911681978
992,1980,1.9959677419354838,0.02784102247100152,10,851,12,0.010833889164220248,0.2192422054241579,0.7168184447148012,barabasi_albert,2,0.3973760835928324
884,883,0.998868778280543,0.0,18,616,16,0.021297430015431322,0.21950560562194815,0.642450204475943,barabasi_albert,1,0.3852300285130928
826,826,1.0,0.0,36,539,34,0.043625782513252075,0.2561060987524784,0.626447102947332,watts_strogatz,3,0.1145059733648282
1407,1407,1.0,0.0,31,628,21,0.022385735915415608,0.4498305279870343,0.41605589944416754,watts_strogatz,2,0.1209620599575626
108,107,0.9907407407407407,0.0,2,70,12,0.026937425182837614,0.4426692923198824,0.4305020866013668,barabasi_albert,1,0.18784698826217144
1126,4504,4.0,0.18476934551534935,24,1118,6,0.021525596686165084,0.394357556212459,0.6576060984383635,watts_strogatz,8,0.35089832344246735
756,1512,2.0,0.1348209036701101,34,261,30,0.045054115015337605,0.030081695528421215,0.3292863914061257,watts_strogatz,5,0.38780313074930733
6888,55104,8.0,0.6392128558932689,146,4930,4,0.021200906475891585,0.4228438827200016,0.4169414338965571,watts_strogatz,17,0.030057846674602817
2149,10745,5.0,0.4698253429523793,48,1482,7,0.022592927319799484,0.15872900525333827,0.42590801731728833,watts_strogatz,10,0.11002157084334868
3716,14864,4.0,0.1216638447666426,110,2249,5,0.029623725860860914,0.214115082656035,0.3018324462678571,watts_strogatz,9,0.42458838632635315
2518,30216,12.0,0.2114316971262292,98,2491,4,0.038956621150188483,0.2167194892595931,0.2572183505316963,watts_strogatz,25,0.3451156933373143
882,2637,2.989795918367347,0.030742222741702106,20,670,12,0.023428301179352434,0.09212062844296003,0.6400302732782341,barabasi_albert,3,0.4383907794386547
177,176,0.9943502824858758,0.0,8,160,12,0.049161598113147464,0.3483172165217086,0.7859756520920196,barabasi_albert,1,0.009972749651411816
1368,1368,1.0,0.0017056530214424948,50,1003,40,0.03683694539182807,0.2563480384937548,0.7134260875905212,watts_strogatz,2,0.2600266985452355
