,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
297,5,3.3989319689376307,0.4052699149881712,14.0,927,6489,0.015118790496760261
298,4,2.7418756203875536,0.0489004122433755,13.900709219858156,987,6860,0.014098082373081293
299,4,2.667548831232654,0.053298578850722506,15.871614844533601,997,7912,0.01593535626961205
300,4,2.732992050288934,0.04963571381446908,13.898655635987591,967,6720,0.014387842273279081
301,5,3.32685296798283,0.37578709707440977,14.0,904,6328,0.015503875968992248
302,5,3.39030293942818,0.36795524501433174,14.0,1059,7413,0.013232514177693763
303,4,2.7157513446269803,0.05427575269103882,13.891832229580574,906,6293,0.015350090861415
304,4,2.7335177969933433,0.051435248118083775,13.898128898128897,962,6685,0.014462152859655464
305,5,3.4499089719780067,0.3961988827541082,14.0,1046,7322,0.013397129186602871
306,5,3.265987987987988,0.4132926844827,16.0,1000,8000,0.016016016016016016
307,5,3.272570392854171,0.3992147013116954,16.0,1052,8416,0.015223596574690773
308,5,3.1936612315946147,0.43025901986406295,18.0,1091,9819,0.01651376146788991
309,4,2.7508300686552114,0.0476875039996355,13.903543307086615,1016,7063,0.013698072223730654
310,4,2.6774519419740432,0.05347781350264366,15.877394636015326,1044,8288,0.015222813649103857
311,5,3.2772219769372106,0.41165189312840866,16.0,1019,8152,0.015717092337917484
312,5,3.4018769684212438,0.4008477276786067,14.0,939,6573,0.014925373134328354
313,4,2.683372353744191,0.049457166438357916,15.8796992481203,1064,8448,0.014938569377347414
314,5,3.3165183481651836,0.4117842876075037,16.0,1096,8768,0.014611872146118723
315,4,2.740683506000023,0.04656147982242988,13.894736842105264,931,6468,0.014940577249575553
316,4,2.744898938832205,0.048911729027619685,13.901010101010101,990,6881,0.01405562194237624
317,5,3.448159355994947,0.4089891134491093,14.0,1011,7077,0.013861386138613865
318,4,2.6783242886266403,0.05081145921091247,15.870445344129555,988,7840,0.016079478565480806
319,5,3.2035103974853683,0.3739020391774034,16.0,1012,8096,0.015825914935707223
320,4,2.6791411311121407,0.05347715507915319,15.880373831775701,1070,8496,0.01485535437958438
321,5,3.1761524988521774,0.41752246321895514,18.0,1085,9765,0.016605166051660517
322,5,3.3429896739692433,0.3602383624887453,14.0,974,6818,0.01438848920863309
323,4,2.7168457150138923,0.05305586357250764,13.895522388059701,938,6517,0.014829799773809714
324,5,3.3015352414057317,0.4206184664095106,16.0,1035,8280,0.015473887814313346
325,4,2.753296493902439,0.04894191895166179,13.904390243902439,1025,7126,0.013578506097560976
